City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Hilo,US,19.73,-155.09,71.6,68,40,6.93,scattered clouds
1,Punta Arenas,CL,-53.15,-70.92,44.6,66,75,21.92,light rain
2,Barrow,US,71.29,-156.79,12.2,78,90,10.29,light snow
3,Parnamirim,BR,-5.92,-35.26,86.0,66,75,14.99,broken clouds
4,Busselton,AU,-33.65,115.33,55.58,85,0,7.7,clear sky
5,Cabo San Lucas,MX,22.89,-109.91,66.0,67,5,6.93,clear sky
6,Urusha,RU,54.05,122.9,4.42,92,53,2.15,broken clouds
7,Airai,TL,-8.93,125.41,62.46,100,100,0.89,overcast clouds
8,Lorengau,PG,-2.02,147.27,80.94,76,100,2.01,overcast clouds
9,Atuona,PF,-9.8,-139.03,77.77,80,31,19.01,light rain
10,Alta Floresta,BR,-9.88,-56.09,91.4,55,40,6.93,scattered clouds
11,Kapaa,US,22.08,-159.32,68.0,82,1,10.29,clear sky
12,Honningsvag,NO,70.98,25.97,37.87,77,42,35.01,scattered clouds
13,Keffi,NG,8.85,7.87,93.54,16,54,2.95,broken clouds
14,Aranos,NA,-24.13,19.12,95.11,10,58,3.02,broken clouds
15,Talnakh,RU,69.49,88.4,10.4,92,75,4.47,light snow
16,Micheweni,TZ,-4.97,39.83,80.62,77,99,10.47,overcast clouds
17,Honiara,SB,-9.43,159.95,75.2,100,75,2.24,light rain
18,Dingle,PH,11.0,122.67,77.11,89,100,2.64,light rain
19,Port Lincoln,AU,-34.73,135.87,59.67,78,0,6.31,very heavy rain
20,Port Elizabeth,ZA,-33.92,25.57,68.0,60,0,16.11,clear sky
21,Monze,ZM,-16.28,27.48,70.57,82,100,8.63,light rain
22,Nelson Bay,AU,-32.72,152.15,69.01,94,95,4.83,overcast clouds
23,Rikitea,PF,-23.12,-134.97,75.81,71,6,4.88,clear sky
24,Cartagena,CO,10.4,-75.51,87.8,74,40,8.05,light rain
25,Castro,BR,-24.79,-50.01,69.57,91,100,11.34,light rain
26,Pevek,RU,69.7,170.31,-13.95,86,0,7.02,clear sky
27,Presevo,RS,42.31,21.65,44.6,87,90,9.62,overcast clouds
28,Thompson,CA,55.74,-97.86,15.8,92,40,2.24,scattered clouds
29,Dikson,RU,73.51,80.55,19.42,93,100,7.61,overcast clouds
30,Qaanaaq,GL,77.48,-69.36,1.87,89,100,2.8,overcast clouds
31,Okahandja,NA,-21.98,16.92,91.4,9,4,12.75,clear sky
32,Kavieng,PG,-2.57,150.8,79.97,83,74,5.86,broken clouds
33,Hithadhoo,MV,-0.6,73.08,83.32,76,40,19.42,scattered clouds
34,Tiksi,RU,71.69,128.87,4.3,92,100,9.06,overcast clouds
35,Aanekoski,FI,62.69,25.82,32.0,80,75,10.29,light shower snow
36,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,66,75,6.93,broken clouds
37,Robertson,US,36.52,-86.87,44.01,60,1,6.53,clear sky
38,Saint George,US,37.1,-113.58,26.6,42,1,2.53,clear sky
39,Hofn,IS,64.25,-15.21,26.6,63,75,32.21,shower rain
40,Ancud,CL,-41.87,-73.82,60.01,62,75,13.87,broken clouds
41,Saint-Philippe,RE,-21.36,55.77,80.6,83,75,3.36,broken clouds
42,Cervo,ES,43.67,-7.41,52.0,92,100,10.0,light rain
43,Albany,US,42.6,-73.97,44.01,42,21,7.18,few clouds
44,Hervey Bay,AU,-25.3,152.85,73.99,83,100,1.01,overcast clouds
45,Kodiak,US,57.79,-152.41,24.8,68,90,6.93,overcast clouds
46,Walvis Bay,NA,-22.96,14.51,64.0,67,20,9.17,few clouds
47,Saskylakh,RU,71.92,114.08,6.66,94,100,11.14,overcast clouds
48,Mataura,NZ,-46.19,168.86,51.01,75,75,7.0,broken clouds
49,Provideniya,RU,64.38,-173.3,10.87,85,0,3.04,clear sky
50,Ayorou,NE,14.73,0.92,97.59,9,12,9.93,few clouds
51,Cuijk,NL,51.72,5.87,42.01,93,90,10.29,overcast clouds
52,Vaini,TO,-21.2,-175.2,73.4,88,75,5.82,broken clouds
53,Teya,RU,60.38,92.63,4.53,91,100,4.43,light snow
54,Mar Del Plata,AR,-38.0,-57.56,68.0,56,0,11.41,clear sky
55,Kaohsiung,TW,22.62,120.31,66.2,68,75,6.93,broken clouds
56,Ushuaia,AR,-54.8,-68.3,35.6,93,75,17.22,shower rain
57,Albacete,ES,38.83,-2.0,48.2,49,0,10.29,clear sky
58,Kinango,KE,-4.14,39.32,74.82,92,79,4.99,broken clouds
59,Smiths Falls,CA,44.9,-76.02,39.0,81,97,14.45,overcast clouds
60,Hermanus,ZA,-34.42,19.23,69.01,66,0,8.01,clear sky
61,Pocone,BR,-16.26,-56.62,98.51,28,76,8.48,broken clouds
62,Butaritari,KI,3.07,172.79,80.58,82,29,13.49,light rain
63,New Norfolk,AU,-42.78,147.06,53.01,66,91,3.0,overcast clouds
64,Hohhot,CN,40.81,111.65,10.4,60,0,6.71,clear sky
65,Gjovik,NO,60.79,10.69,33.01,95,100,4.0,overcast clouds
66,Kaeo,NZ,-35.1,173.78,48.99,89,38,3.0,scattered clouds
67,Shakhtinsk,KZ,49.71,72.59,8.6,71,75,8.95,broken clouds
68,Tasiilaq,GL,65.61,-37.64,15.8,56,20,4.7,few clouds
69,Denpasar,ID,-8.65,115.22,82.4,78,40,2.24,light rain
70,Almaznyy,RU,48.04,40.05,28.4,68,75,22.37,broken clouds
71,Portland,US,45.52,-122.68,43.0,69,40,6.93,scattered clouds
72,Mahanje,TZ,-9.93,35.33,72.84,73,94,6.69,light rain
73,Playa Del Carmen,MX,20.63,-87.08,78.8,83,90,14.99,light rain
74,Wanning,CN,18.8,110.4,65.08,76,57,12.08,broken clouds
75,Asfi,MA,32.3,-9.24,65.86,69,0,11.16,clear sky
76,Leningradskiy,RU,69.38,178.42,-7.4,79,0,5.41,clear sky
77,Kenai,US,60.55,-151.26,10.4,85,75,1.57,broken clouds
78,Puerto Ayora,EC,-0.74,-90.35,73.99,84,40,3.0,scattered clouds
79,Edeia,BR,-17.34,-49.93,94.95,26,100,10.6,overcast clouds
80,Santiago De Chuco,PE,-8.15,-78.18,59.72,61,86,1.32,light rain
81,Port Hardy,CA,50.7,-127.42,48.2,93,90,3.36,overcast clouds
82,Esperance,AU,-33.87,121.9,60.8,93,12,11.41,few clouds
83,Severo-Kurilsk,RU,50.68,156.12,25.59,89,82,9.1,light snow
84,Port Alfred,ZA,-33.59,26.89,65.77,69,0,13.33,clear sky
85,Nikolskoye,RU,59.7,30.79,28.4,86,75,13.42,light snow
86,Anuradhapura,LK,8.36,80.42,73.49,97,100,10.18,light rain
87,Bluff,NZ,-46.6,168.33,51.01,75,99,7.0,overcast clouds
88,Fukue,JP,32.69,128.84,52.43,61,24,18.77,few clouds
89,Rehoboth,NA,-23.32,17.08,88.81,11,0,22.77,clear sky
90,Kresttsy,RU,58.25,32.52,26.51,93,97,6.69,overcast clouds
91,Woodward,US,36.43,-99.39,30.2,92,90,17.22,overcast clouds
92,San Patricio,US,28.02,-97.52,51.01,48,20,18.34,few clouds
93,East London,ZA,-33.02,27.91,69.8,60,40,9.17,scattered clouds
94,Vila Velha,BR,-20.33,-40.29,87.01,70,40,17.22,scattered clouds
95,Lensk,RU,60.73,114.93,14.47,93,100,16.98,light snow
96,Veydelevka,RU,50.15,38.45,26.35,92,97,13.29,snow
97,Lobez,PL,53.64,15.62,28.99,92,100,3.0,overcast clouds
98,Nabire,ID,-3.37,135.48,76.35,88,100,2.93,overcast clouds
99,Port-Cartier,CA,50.03,-66.87,34.0,80,46,13.87,scattered clouds
100,Port Macquarie,AU,-31.43,152.92,69.01,99,96,1.99,light rain
101,Abu Samrah,SY,35.3,37.18,55.9,55,0,8.23,clear sky
102,Grand Gaube,MU,-20.01,57.66,79.0,74,56,8.99,broken clouds
103,Dortyol,TR,36.86,36.23,66.99,49,5,7.47,clear sky
104,Jibuti,DJ,11.5,42.5,80.6,74,20,4.7,few clouds
105,Pisco,PE,-13.7,-76.22,71.6,68,0,9.17,clear sky
106,Meadow Lake,US,34.8,-106.54,24.01,73,1,4.7,clear sky
107,Oussouye,SN,12.48,-16.55,87.8,55,0,4.7,clear sky
108,Kruisfontein,ZA,-34.0,24.73,62.35,67,0,12.93,clear sky
109,Skjervoy,NO,70.03,20.97,37.4,69,75,16.11,light rain
110,Kaitangata,NZ,-46.28,169.85,52.0,62,98,1.99,overcast clouds
111,Aklavik,CA,68.22,-135.01,24.8,92,90,2.24,overcast clouds
112,Bambous Virieux,MU,-20.34,57.76,79.0,78,40,8.05,scattered clouds
113,Tepexpan,MX,18.75,-97.15,57.67,72,59,4.9,broken clouds
114,Corn Island,NI,12.17,-83.04,80.53,82,97,18.7,overcast clouds
115,Cotonou,BJ,6.37,2.42,84.33,72,16,12.62,few clouds
116,Bagdarin,RU,54.43,113.6,7.45,87,100,3.91,overcast clouds
117,Khandyga,RU,62.67,135.6,-5.84,92,100,4.09,light snow
118,San Andres,CO,12.58,-81.7,78.8,78,75,17.22,shower rain
119,Upernavik,GL,72.79,-56.15,17.8,84,100,9.8,overcast clouds
120,Saint-Georges,GD,12.06,-61.75,80.6,74,75,11.41,light rain
121,Andenes,NO,69.31,16.12,39.2,86,75,14.99,broken clouds
122,Tome,CL,-36.62,-72.95,62.6,48,0,14.99,clear sky
123,Gizo,SB,-8.1,156.84,80.06,74,100,1.54,overcast clouds
124,San Juan,AR,-31.54,-68.54,85.75,18,0,17.9,clear sky
125,Bathsheba,BB,13.22,-59.52,77.0,83,75,9.17,broken clouds
126,Manta,EC,-0.95,-80.73,77.0,78,90,5.82,overcast clouds
127,Hihya,EG,30.67,31.59,69.8,37,40,2.24,haze
128,Cape Town,ZA,-33.93,18.42,71.01,64,0,27.51,clear sky
129,Kavaratti,IN,10.57,72.64,82.22,77,99,10.76,overcast clouds
130,Souillac,MU,-20.52,57.52,78.8,78,40,8.05,scattered clouds
131,Sioux Lookout,CA,50.1,-91.92,21.2,85,20,4.7,few clouds
132,Cherskiy,RU,68.75,161.3,-16.64,84,37,4.74,scattered clouds
133,Tuatapere,NZ,-46.13,167.68,51.01,75,64,7.0,broken clouds
134,Isangel,VU,-19.55,169.27,74.79,81,100,10.38,light rain
135,Avarua,CK,-21.21,-159.78,75.2,100,78,2.24,broken clouds
136,Greifswald,DE,54.1,13.38,30.99,88,100,4.0,overcast clouds
137,Jaisalmer,IN,26.91,70.92,70.77,22,0,5.53,clear sky
138,Yulara,AU,-25.24,130.99,82.4,23,36,10.29,scattered clouds
139,Fortuna,US,40.6,-124.16,43.0,92,23,1.99,few clouds
140,Chuy,UY,-33.7,-53.46,74.97,59,25,5.41,scattered clouds
141,Innisfail,AU,-17.53,146.03,74.12,87,100,4.27,overcast clouds
142,Bredasdorp,ZA,-34.53,20.04,71.6,53,0,12.75,clear sky
143,Lasa,IT,46.62,10.7,41.0,75,40,1.12,scattered clouds
144,Yatou,CN,37.15,122.38,33.12,87,64,8.55,broken clouds
145,Jamestown,US,42.1,-79.24,36.0,68,1,12.75,clear sky
146,Rocha,UY,-34.48,-54.33,74.52,52,22,17.98,few clouds
147,Georgetown,MY,5.41,100.34,78.8,78,20,5.82,few clouds
148,Torbay,CA,47.67,-52.73,55.99,100,90,24.16,light rain
149,Norman Wells,CA,65.28,-126.83,41.0,65,75,7.56,broken clouds
150,San Francisco,US,37.77,-122.42,48.99,81,40,5.86,scattered clouds
151,Speightstown,BB,13.25,-59.65,77.0,83,75,9.17,broken clouds
152,Kalaikunda,IN,22.35,87.25,69.37,48,12,3.83,few clouds
153,Hay River,CA,60.82,-115.8,37.4,59,0,12.75,clear sky
154,Aswan,EG,24.09,32.91,65.91,32,0,6.17,clear sky
155,Asau,RO,46.43,26.4,36.0,93,90,4.7,overcast clouds
156,Coihaique,CL,-45.58,-72.07,55.4,47,40,6.93,scattered clouds
157,Kayerkan,RU,69.35,87.76,10.4,92,75,4.47,light snow
158,Baruun-Urt,MN,46.68,113.28,-0.2,89,0,10.45,clear sky
159,Waipawa,NZ,-41.41,175.52,57.2,76,23,19.46,few clouds
160,Maceio,BR,-9.67,-35.74,87.8,62,75,14.99,broken clouds
161,Paamiut,GL,61.99,-49.67,34.2,78,100,13.4,overcast clouds
162,Ponta Do Sol,PT,32.67,-17.1,68.0,77,40,19.46,scattered clouds
163,Kismayo,SO,-0.36,42.55,80.06,79,98,14.27,overcast clouds
164,Yellowknife,CA,62.46,-114.35,23.0,100,5,13.87,clear sky
165,Komsomolskiy,UZ,40.43,71.72,42.8,87,90,2.24,fog
166,Arraial Do Cabo,BR,-22.97,-42.03,91.4,59,20,14.99,few clouds
167,Saldanha,ZA,-33.01,17.94,75.2,36,0,23.04,clear sky
168,Geraldton,AU,-28.77,114.6,66.2,77,90,12.75,overcast clouds
169,Cockburn Town,TC,21.46,-71.14,80.6,69,75,8.05,broken clouds
170,The Valley,AI,18.22,-63.06,84.2,58,40,13.87,scattered clouds
171,Caravelas,BR,-17.71,-39.25,85.01,62,84,11.43,broken clouds
172,Nouna,BF,12.73,-3.87,100.22,9,0,9.42,clear sky
173,Anloga,GH,5.79,0.9,83.57,73,12,15.39,few clouds
174,Asyut,EG,27.18,31.18,68.0,37,0,4.7,clear sky
175,Taoudenni,ML,22.68,-3.98,93.78,10,86,14.45,overcast clouds
176,Wajir,KE,1.75,40.06,86.94,49,78,3.87,broken clouds
177,El Alto,PE,-4.27,-81.21,75.2,69,0,13.87,clear sky
178,Inhambane,MZ,-23.86,35.38,72.9,68,0,8.79,clear sky
179,Chokurdakh,RU,70.63,147.92,-12.06,91,91,2.75,overcast clouds
180,Novoagansk,RU,61.94,76.66,6.75,95,100,7.54,overcast clouds
181,Ribeira Grande,PT,38.52,-28.7,62.6,59,20,14.99,few clouds
182,Solnechnyy,RU,50.72,136.63,4.46,83,0,3.24,clear sky
183,Lompoc,US,34.64,-120.46,42.8,93,1,4.7,clear sky
184,Kamenka,RU,51.32,42.77,14.0,84,24,11.59,few clouds
185,Southampton,GB,50.9,-1.4,44.6,93,40,7.67,scattered clouds
186,Mbalmayo,CM,3.52,11.5,86.0,48,40,3.36,scattered clouds
187,Coquimbo,CL,-29.95,-71.34,60.8,72,75,12.75,broken clouds
188,Pauini,BR,-7.71,-66.98,83.14,86,96,2.59,overcast clouds
189,Sao Filipe,CV,14.9,-24.5,75.52,77,100,8.57,overcast clouds
190,Dunedin,NZ,-45.87,170.5,55.0,65,100,3.0,light rain
191,Namatanai,PG,-3.67,152.43,77.4,86,84,5.01,broken clouds
192,Nyimba,ZM,-14.56,30.81,74.52,82,94,4.59,overcast clouds
193,Chicama,PE,-7.84,-79.15,68.0,77,92,14.99,mist
194,Ust-Tsilma,RU,65.44,52.15,28.2,97,97,7.92,overcast clouds
195,Fort Nelson,CA,58.81,-122.7,24.8,92,75,6.93,broken clouds
196,Bengkulu,ID,-3.8,102.27,76.17,79,98,4.47,overcast clouds
197,Shebunino,RU,46.43,141.86,24.31,91,98,16.69,overcast clouds
198,Ilulissat,GL,69.22,-51.1,8.6,60,5,33.33,clear sky
199,Vestmannaeyjar,IS,63.44,-20.27,23.0,67,20,31.09,few clouds
200,Bac Lieu,VN,9.29,105.72,75.29,79,49,4.9,scattered clouds
