City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Hilo,US,71.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
8,Lorengau,PG,80.94,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
9,Atuona,PF,77.77,light rain,-9.8,-139.03,Villa Enata
16,Micheweni,TZ,80.62,overcast clouds,-4.97,39.83,
17,Honiara,SB,75.2,light rain,-9.43,159.95,Heritage Park Hotel
18,Dingle,PH,77.11,light rain,11.0,122.67,SEGAYA PROPERTY
21,Monze,ZM,70.57,light rain,-16.28,27.48,Sera's Lodge
23,Rikitea,PF,75.81,clear sky,-23.12,-134.97,Pension Maro'i
32,Kavieng,PG,79.97,broken clouds,-2.57,150.8,Nusa Island Retreat
33,Hithadhoo,MV,83.32,scattered clouds,-0.6,73.08,Scoop Guest House
41,Saint-Philippe,RE,80.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
44,Hervey Bay,AU,73.99,overcast clouds,-25.3,152.85,Shelly Bay Resort
52,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Kinango,KE,74.82,broken clouds,-4.14,39.32,Moonlit Inn Kinango
62,Butaritari,KI,80.58,light rain,3.07,172.79,Isles Sunset Lodge
69,Denpasar,ID,82.4,light rain,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
72,Mahanje,TZ,72.84,light rain,-9.93,35.33,
73,Playa Del Carmen,MX,78.8,light rain,20.63,-87.08,Hotel Kinbe
78,Puerto Ayora,EC,73.99,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
86,Anuradhapura,LK,73.49,light rain,8.36,80.42,Nilketha Villa Eco Hotel
98,Nabire,ID,76.35,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
102,Grand Gaube,MU,79.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
104,Jibuti,DJ,80.6,few clouds,11.5,42.5,Orchid Main Camp Goubet
105,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
112,Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
114,Corn Island,NI,80.53,overcast clouds,12.17,-83.04,Big Fish Guest House
115,Cotonou,BJ,84.33,few clouds,6.37,2.42,Novotel Cotonou Orisha
118,San Andres,CO,78.8,shower rain,12.58,-81.7,Hotel Arena Blanca
120,Saint-Georges,GD,80.6,light rain,12.06,-61.75,Siesta Hotel
123,Gizo,SB,80.06,overcast clouds,-8.1,156.84,Imagination Island
125,Bathsheba,BB,77.0,broken clouds,13.22,-59.52,Atlantis Hotel
126,Manta,EC,77.0,overcast clouds,-0.95,-80.73,Balandra Hotel
