City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Liwale,TZ,2020-11-29 21:23:45,-9.77,37.93,71.85,91,0,4.54
1,Vanavara,RU,2020-11-29 21:23:45,60.34,102.28,3.29,94,100,6.13
2,Victoria,HK,2020-11-29 21:23:06,22.29,114.16,64.0,69,99,10.13
3,Nuuk,GL,2020-11-29 21:18:57,64.18,-51.72,30.2,68,100,24.16
4,Aklavik,CA,2020-11-29 21:23:46,68.22,-135.01,-2.2,77,100,3.36
5,Najran,SA,2020-11-29 21:19:08,17.49,44.13,73.4,38,75,3.56
6,Miri,MY,2020-11-29 21:23:47,4.41,114.01,75.2,94,40,2.24
7,Qaqortoq,GL,2020-11-29 21:23:47,60.72,-46.03,23.0,53,100,3.36
8,Kapaa,US,2020-11-29 21:23:48,22.08,-159.32,77.0,78,75,14.99
9,Yako,BF,2020-11-29 21:23:48,12.97,-2.27,80.46,26,0,7.63
10,Xining,CN,2020-11-29 21:23:49,36.62,101.77,22.01,90,71,1.61
11,Busselton,AU,2020-11-29 21:23:49,-33.65,115.33,48.99,97,22,16.96
12,Saldanha,ZA,2020-11-29 21:23:50,-33.01,17.94,59.0,82,0,9.17
13,Tuktoyaktuk,CA,2020-11-29 21:23:50,69.45,-133.04,1.4,84,90,9.17
14,Brae,GB,2020-11-29 21:23:51,60.4,-1.35,48.2,87,100,29.97
15,Santiago Del Estero,AR,2020-11-29 21:23:51,-27.8,-64.26,102.99,36,22,3.0
16,Longyearbyen,SJ,2020-11-29 21:23:52,78.22,15.64,17.6,57,75,9.17
17,Albany,US,2020-11-29 21:23:52,42.6,-73.97,48.0,47,25,3.8
18,Rikitea,PF,2020-11-29 21:23:53,-23.12,-134.97,76.08,81,79,11.18
19,Ribeira Grande,PT,2020-11-29 21:23:53,38.52,-28.7,60.8,67,40,10.29
20,Hithadhoo,MV,2020-11-29 21:20:17,-0.6,73.08,82.11,69,100,7.99
21,Dikson,RU,2020-11-29 21:23:54,73.51,80.55,31.66,99,100,26.46
22,Hobart,AU,2020-11-29 21:20:10,-42.88,147.33,57.99,66,20,5.82
23,Trelew,AR,2020-11-29 21:22:43,-43.25,-65.31,64.42,28,0,12.06
24,Salalah,OM,2020-11-29 21:23:55,17.02,54.09,77.0,73,75,2.24
25,Grants,US,2020-11-29 21:23:10,35.15,-107.85,48.2,31,1,12.75
26,Necochea,AR,2020-11-29 21:23:56,-38.55,-58.74,62.01,64,76,22.68
27,Linden,GY,2020-11-29 21:22:50,6.0,-58.3,78.8,94,75,4.7
28,Lensk,RU,2020-11-29 21:23:56,60.73,114.93,2.12,90,100,11.63
29,Tara,RU,2020-11-29 21:23:57,56.89,74.37,2.44,94,0,4.23
30,Eirunepe,BR,2020-11-29 21:23:57,-6.66,-69.87,82.65,84,100,2.13
31,Wick,GB,2020-11-29 21:23:58,58.43,-3.08,46.4,87,100,6.93
32,Margate,GB,2020-11-29 21:23:58,51.38,1.39,48.0,84,66,4.21
33,Castro,BR,2020-11-29 21:19:34,-24.79,-50.01,74.3,79,100,1.86
34,Airai,TL,2020-11-29 21:23:59,-8.93,125.41,61.68,88,24,1.1
35,Saint-Philippe,RE,2020-11-29 21:23:59,-21.36,55.77,73.4,78,0,2.24
36,Port Alfred,ZA,2020-11-29 21:24:00,-33.59,26.89,63.37,76,0,8.55
37,Cape Town,ZA,2020-11-29 21:23:26,-33.93,18.42,62.01,82,20,14.99
38,Pisco,PE,2020-11-29 21:24:00,-13.7,-76.22,68.0,82,0,23.04
39,Sinnamary,GF,2020-11-29 21:24:01,5.38,-52.95,80.82,82,28,9.19
40,Derzhavinsk,KZ,2020-11-29 21:24:01,51.1,66.32,0.16,93,6,5.39
41,Nikolskoye,RU,2020-11-29 21:24:01,59.7,30.79,30.2,86,90,13.42
42,Kupang,ID,2020-11-29 21:24:02,-10.17,123.58,77.0,100,20,1.54
43,Butaritari,KI,2020-11-29 21:24:02,3.07,172.79,81.99,79,29,20.62
44,Dingle,PH,2020-11-29 21:24:02,11.0,122.67,74.37,92,1,6.89
45,Narsaq,GL,2020-11-29 21:24:03,60.92,-46.05,23.0,53,100,3.36
46,Lompoc,US,2020-11-29 21:19:05,34.64,-120.46,68.0,30,1,9.17
47,Mar Del Plata,AR,2020-11-29 21:24:04,-38.0,-57.56,64.4,48,0,16.11
48,Souillac,MU,2020-11-29 21:24:04,-20.52,57.52,75.2,88,75,6.93
49,Avarua,CK,2020-11-29 21:24:04,-21.21,-159.78,82.4,83,89,5.82
50,Atambua,ID,2020-11-29 21:24:05,-9.11,124.89,75.79,80,93,1.43
51,Punta Arenas,CL,2020-11-29 21:21:47,-53.15,-70.92,51.8,66,75,19.46
52,Fort Nelson,CA,2020-11-29 21:23:47,58.81,-122.7,35.6,59,20,5.82
53,Nizhniy Kuranakh,RU,2020-11-29 21:24:06,58.84,125.49,-0.9,91,100,6.42
54,Kavaratti,IN,2020-11-29 21:24:07,10.57,72.64,82.13,68,0,2.26
55,Jamestown,US,2020-11-29 21:24:07,42.1,-79.24,48.0,48,1,8.05
56,Luderitz,NA,2020-11-29 21:24:08,-26.65,15.16,59.0,87,0,11.41
57,Tiarei,PF,2020-11-29 21:24:08,-17.53,-149.33,86.0,70,20,17.22
58,Alice Springs,AU,2020-11-29 21:23:41,-23.7,133.88,84.99,32,9,4.7
59,Pimenta Bueno,BR,2020-11-29 21:24:09,-11.67,-61.19,90.39,50,38,3.4
60,Ancud,CL,2020-11-29 21:24:09,-41.87,-73.82,60.01,66,75,4.7
61,Nanakuli,US,2020-11-29 21:24:09,21.39,-158.15,78.8,61,75,9.17
62,Torbay,CA,2020-11-29 21:24:10,47.67,-52.73,39.99,86,90,24.16
63,Eisenach,DE,2020-11-29 21:24:10,50.98,10.32,35.01,63,61,0.83
64,Pericos,MX,2020-11-29 21:24:11,25.05,-107.7,87.01,33,5,6.93
65,Qaanaaq,GL,2020-11-29 21:24:11,77.48,-69.36,-16.94,81,100,2.93
66,Poum,NC,2020-11-29 21:24:11,-20.23,164.02,76.19,66,48,13.89
67,Kismayo,SO,2020-11-29 21:24:12,-0.36,42.55,80.46,81,0,11.12
68,Plainview,US,2020-11-29 21:24:12,40.78,-73.47,51.01,46,1,9.17
69,Bluff,NZ,2020-11-29 21:24:12,-46.6,168.33,53.01,93,100,7.0
70,Yellowknife,CA,2020-11-29 21:24:14,62.46,-114.35,25.0,79,20,4.7
71,Saint-Francois,FR,2020-11-29 21:24:14,46.42,3.91,35.6,80,90,6.93
72,Auka,HN,2020-11-29 21:24:14,14.93,-83.83,84.9,62,20,5.21
